match_id,match_seq_num,radiant_win,start_time,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team,radiant_team_sorted,dire_team_sorted
8523630807,7159293401,True,1761156850,1863,7,22,44,6,186,"[63, 75, 2, 73, 36]","[145, 91, 70, 39, 35]","[2, 36, 63, 73, 75]","[35, 39, 70, 91, 145]"
8523630619,7159292793,True,1761156845,1849,7,22,53,4,183,"[84, 53, 71, 38, 112]","[21, 11, 39, 105, 85]","[38, 53, 71, 84, 112]","[11, 21, 39, 85, 105]"
8523630505,7159292159,True,1761156840,1831,7,22,33,4,185,"[86, 40, 123, 15, 101]","[91, 1, 74, 107, 52]","[15, 40, 86, 101, 123]","[1, 52, 74, 91, 107]"
8523630315,7159286551,False,1761156826,1558,7,3,74,4,236,"[74, 20, 67, 111, 104]","[51, 25, 48, 14, 21]","[20, 67, 74, 104, 111]","[14, 21, 25, 48, 51]"
8523630101,7159293413,True,1761156825,1914,7,22,23,5,193,"[20, 2, 14, 70, 45]","[104, 123, 36, 50, 81]","[2, 14, 20, 45, 70]","[36, 50, 81, 104, 123]"
8523629907,7159293008,True,1761156820,1904,7,22,23,2,183,"[54, 71, 11, 91, 95]","[53, 101, 13, 18, 98]","[11, 54, 71, 91, 95]","[13, 18, 53, 98, 101]"
8523629810,7159287081,True,1761156810,1600,7,22,75,8,271,"[9, 26, 129, 7, 11]","[47, 93, 111, 18, 14]","[7, 9, 11, 26, 129]","[14, 18, 47, 93, 111]"
8523629808,7159291001,False,1761156810,1771,7,22,61,4,123,"[71, 2, 26, 11, 19]","[66, 107, 27, 17, 104]","[2, 11, 19, 26, 71]","[17, 27, 66, 104, 107]"
8523629806,7159292427,False,1761156810,1851,7,22,43,4,118,"[42, 102, 78, 75, 6]","[119, 104, 29, 87, 7]","[6, 42, 75, 78, 102]","[7, 29, 87, 104, 119]"
8523629712,7159290949,False,1761156806,1773,7,22,44,5,241,"[93, 28, 104, 88, 41]","[22, 62, 72, 7, 49]","[28, 41, 88, 93, 104]","[7, 22, 49, 62, 72]"
8523629603,7159291333,True,1761156800,1786,7,22,15,1,185,"[26, 85, 110, 93, 86]","[11, 101, 1, 19, 14]","[26, 85, 86, 93, 110]","[1, 11, 14, 19, 101]"
8523629519,7159286399,True,1761156795,1574,7,22,33,5,185,"[86, 26, 42, 13, 53]","[18, 126, 119, 97, 14]","[13, 26, 42, 53, 86]","[14, 18, 97, 119, 126]"
8523629500,7159293334,False,1761156800,1920,7,22,22,4,227,"[96, 128, 1, 136, 6]","[95, 47, 60, 86, 71]","[1, 6, 96, 128, 136]","[47, 60, 71, 86, 95]"
8523629415,7159287413,True,1761156775,1633,7,22,25,4,153,"[42, 50, 1, 3, 22]","[47, 108, 109, 27, 14]","[1, 3, 22, 42, 50]","[14, 27, 47, 108, 109]"
8523629401,7159291577,True,1761156795,1869,0,4,51,4,273,"[131, 54, 101, 28, 111]","[14, 66, 105, 26, 110]","[28, 54, 101, 111, 131]","[14, 26, 66, 105, 110]"
8523629308,7159291012,False,1761156791,1833,7,22,74,6,181,"[46, 67, 53, 145, 20]","[39, 121, 136, 21, 10]","[20, 46, 53, 67, 145]","[10, 21, 39, 121, 136]"
8523629306,7159281766,True,1761156790,1340,0,22,54,5,273,"[20, 50, 30, 41, 47]","[4, 14, 29, 76, 121]","[20, 30, 41, 47, 50]","[4, 14, 29, 76, 121]"
